title	repository	comment
	https://github.com/einverne/rime-hangul	
	https://github.com/gkovacs/rime-international	
	https://github.com/gkovacs/rime-japanese	
	https://github.com/gkovacs/rime-korean	
	https://github.com/gkovacs/rime-spanish	
	https://github.com/gkovacs/rime-vietnamese	
	https://github.com/ha-pin/hapin-for-hamster	
	https://github.com/ha-pin/rime-kz-experiment	
	https://github.com/HoengSaan/rime-kikwin	
	https://github.com/JaplinChen/rime-vietnamese-pinyin	
	https://github.com/lazyfoxchan/rime-jaroomaji	
	https://github.com/lazyfoxchan/rime-koromaja	
	https://github.com/LiGhauNgyan/rime-korean	
	https://github.com/miketvo/rime-ime-han-nom-data	
	https://github.com/momijineko/Rime-KappaJP	
	https://github.com/nushu-script/rime-nushu	
	https://github.com/oniondelta/Hangul_Rime_Files	
	https://github.com/pearapple123/rime-chunom	
	https://github.com/picado-tv/rime-handarin	
	https://github.com/picado-tv/rime-hangul	
	https://github.com/rime-aca/rime-hangyl	
	https://github.com/rime/rime-ipa	
	https://github.com/rimeinn/rime-kagiroi	
	https://github.com/rimeinn/rime-mungyeong	
	https://github.com/saeziae/rime_korean-yeonbyeon	
	https://github.com/saeziae/rime_tai	
	https://github.com/saeziae/rime_thai_naphukhau	
	https://github.com/scorpjke/VQuick	
	https://github.com/sdadonkey/rime-english	
	https://github.com/sgalal/rime-hanja	
	https://github.com/sgalal/rime-kunyomi	
	https://github.com/sgqy/rime-korean	
	https://github.com/shewer/rime-english	
	https://github.com/shonkhoroo/rime-mongolian-input-method	
	https://github.com/tumuyan/rime-pinyin-jap	
	https://github.com/tyotakuki/ejemedosirearga	
	https://github.com/wu-shan/type-pinyin	
	https://github.com/yuanhao-chen-nyoeghau/rime-hentaigana	
	https://github.com/yuanhao-chen-nyoeghau/rime-Xdi8_Kana	
%	[AlephAlpha/greek.dict.yaml](https://gist.github.com/AlephAlpha/5406458cb98838efe1fc)	Rime 的希腊字母输入方案，也支持一些常用的数学符号。
### 特殊符号、专用输入等		
	https://github.com/amorphobia/xmoji	
	https://github.com/Cycatz/chemical-kb	化學中文名詞
	https://github.com/fkxxyz/rime-symbols	
	https://github.com/rime/rime-emoji	
	https://github.com/rime/rime-prelude	
	https://github.com/rimeinn/rime-kaomoji	
	https://github.com/rtransformation/rime-opencc_emoji_symbols	
	https://github.com/shenlebantongying/rime_latex	
	https://github.com/wklchris/Rime-latex-symbols	
	https://github.com/yangrq/windy_idiom	WINDY IDIOM 大风成语输入法方案
%	[lembacon/luna_pinyin.emoji.dict.yaml](https://gist.github.com/lembacon/4593540)	Pinyin-Emoji Dictionary for Squirrel
## 补充资料		
### Rime开发相关		
	https://github.com/bczhc/librime-rs	
	https://github.com/Cycatz/tmux-rime	
	https://github.com/DogLooksGood/emacs-rime	
	https://github.com/gaboolic/moqi-ime	墨奇输入法后端引擎（go语言）
	https://github.com/gaboolic/rime-schema-compare	
	https://github.com/halfmoonvic/Rime	
	https://github.com/hchunhui/librime-cloud	
	https://github.com/hchunhui/librime-lua	Lua脚本
	https://github.com/hyuan42/Rime-words-counter	
	https://github.com/lotem/librime-octagram	
	https://github.com/Lu-Jiejie/rime-lua-script	
	https://github.com/rime/artworks	
	https://github.com/rime/librime	
	https://github.com/rime/librime-charcode	
	https://github.com/rime/librime-predict	
